date,cash,positions_value,total_equity,num_positions
2020-07-31,100000.0,0.0,100000.0,0
2020-08-01,100000.0,0.0,100000.0,0
2020-08-02,100000.0,0.0,100000.0,0
2020-08-03,100000.0000000536,0.0,100000.0000000536,1
2020-08-04,100000.00000013823,-6.189726671697975e-08,100000.00000007632,2
2020-08-05,100000.00000027675,0.0,100000.00000027675,1
2020-08-06,100000.00000027748,0.0,100000.00000027748,1
2020-08-07,100000.00000027762,0.0,100000.00000027762,1
2020-08-08,100000.00026817295,0.0,100000.00026817295,1
2020-08-09,99999.97635100654,0.0,99999.97635100654,1
2020-08-10,99999.98834505327,0.0,99999.98834505327,1
2020-08-11,99999.98504837995,0.0,99999.98504837995,1
2020-08-12,99999.9912863636,0.0,99999.9912863636,1
2020-08-13,99999.99645911281,0.0,99999.99645911281,1
2020-08-14,100000.00016213983,0.0,100000.00016213983,1
2020-08-15,100000.00197420912,-0.002502253000501177,99999.99947195612,2
2020-08-16,100000.00326557939,-0.003015219124862146,100000.00025036026,3
2020-08-17,100000.00680951566,0.00040340074439696713,100000.0072129164,2
2020-08-18,100000.00791300449,-0.0013484047239177028,100000.00656459977,3
2020-08-19,100000.01001732315,0.00039946074084039844,100000.01041678389,2
2020-08-20,100000.01144279719,0.0,100000.01144279719,0
2020-08-21,100000.01144279719,0.0,100000.01144279719,0
2020-08-22,100000.01144279719,0.0,100000.01144279719,0
2020-08-23,100000.01144279719,0.0,100000.01144279719,0
2020-08-24,100000.01144279719,0.0,100000.01144279719,0
2020-08-25,100000.01144279719,0.0,100000.01144279719,0
2020-08-26,100000.01144279719,0.0,100000.01144279719,0
2020-08-27,100000.01144279719,0.0,100000.01144279719,0
2020-08-28,100000.01144279719,0.0,100000.01144279719,0
2020-08-29,100000.01144279719,0.0,100000.01144279719,0
2020-08-30,100000.01144279719,0.0,100000.01144279719,0
2020-08-31,100000.01144279719,0.0,100000.01144279719,0
2020-09-01,100000.01144279719,0.0,100000.01144279719,0
2020-09-02,100000.01144279719,0.0,100000.01144279719,0
2020-09-03,100000.01144279719,0.0,100000.01144279719,0
2020-09-04,100000.01144279719,0.0,100000.01144279719,0
2020-09-05,100000.01144279719,0.0,100000.01144279719,0
2020-09-06,100000.01144279719,0.0,100000.01144279719,0
2020-09-07,100000.01144279719,0.0,100000.01144279719,0
2020-09-08,100000.01144279719,0.0,100000.01144279719,0
2020-09-09,100000.01144279719,0.0,100000.01144279719,0
2020-09-10,100000.03041053526,0.0,100000.03041053526,1
2020-09-11,100000.05445530603,-0.02407795469887633,100000.03037735133,2
2020-09-12,100000.07449151842,-0.01410187662294578,100000.06038964179,3
2020-09-13,100000.1366245976,0.006851986308644052,100000.14347658391,2
2020-09-14,100000.17043672815,-0.04763927606327605,100000.12279745209,3
2020-09-15,100000.2004115517,-0.0014264515022596302,100000.1989851002,4
2020-09-16,100000.32346921998,0.0,100000.32346921998,1
2020-09-17,100000.35858270057,0.0036316139961750627,100000.36221431458,2
2020-09-18,100000.39413249408,0.013590029807098683,100000.40772252389,3
2020-09-19,99997.82121941747,0.0,99997.82121941747,1
2020-09-20,99998.01311313361,-0.12503205018170402,99997.88808108342,2
2020-09-21,99998.23595032438,0.05076076045572751,99998.28671108483,2
2020-09-22,99997.8891982682,0.0,99997.8891982682,0
2020-09-23,99997.8891982682,0.0,99997.8891982682,0
2020-09-24,99997.8891982682,0.0,99997.8891982682,0
2020-09-25,99997.8891982682,0.0,99997.8891982682,0
2020-09-26,99997.8891982682,0.0,99997.8891982682,0
2020-09-27,99997.8891982682,0.0,99997.8891982682,0
2020-09-28,99997.8891982682,0.0,99997.8891982682,0
2020-09-29,99997.8891982682,0.0,99997.8891982682,0
2020-09-30,99997.8891982682,0.0,99997.8891982682,0
2020-10-01,99997.8891982682,0.0,99997.8891982682,0
2020-10-02,99997.8891982682,0.0,99997.8891982682,0
2020-10-03,99997.8891982682,0.0,99997.8891982682,0
2020-10-04,99997.8891982682,0.0,99997.8891982682,0
2020-10-05,99997.8891982682,0.0,99997.8891982682,0
2020-10-06,99997.8891982682,0.0,99997.8891982682,0
2020-10-07,99997.8891982682,0.0,99997.8891982682,0
2020-10-08,99997.8891982682,0.0,99997.8891982682,0
2020-10-09,99997.8891982682,0.0,99997.8891982682,0
2020-10-10,99997.8891982682,0.0,99997.8891982682,0
2020-10-11,99997.8891982682,0.0,99997.8891982682,0
2020-10-12,99997.8891982682,0.0,99997.8891982682,0
2020-10-13,99997.94826555507,0.0,99997.94826555507,1
2020-10-14,99998.03607803358,0.0,99998.03607803358,1
2020-10-15,99998.08862500546,0.013263524139562114,99998.1018885296,2
2020-10-16,99998.1487858771,0.019012565207139002,99998.1677984423,2
2020-10-17,99998.2066276111,0.006909553157140183,99998.21353716425,2
2020-10-18,99998.23809306425,0.01846781470040339,99998.25656087896,3
2020-10-19,99998.32715223434,0.0,99998.32715223434,1
2020-10-20,99998.33140348055,0.0,99998.33140348055,1
2020-10-21,99998.33516409593,0.0,99998.33516409593,1
2020-10-22,99998.3354922264,0.0,99998.3354922264,0
2020-10-23,99998.3354922264,0.0,99998.3354922264,0
2020-10-24,99998.3354922264,0.0,99998.3354922264,0
2020-10-25,99998.33570779276,0.0,99998.33570779276,1
2020-10-26,99998.33604988585,0.0,99998.33604988585,1
2020-10-27,99998.33560453352,0.0,99998.33560453352,1
2020-10-28,99998.33599896506,0.0,99998.33599896506,1
2020-10-29,99998.33615369844,0.0,99998.33615369844,1
2020-10-30,99998.33627806901,0.0,99998.33627806901,1
2020-10-31,99998.33636938997,0.0,99998.33636938997,1
2020-11-01,99998.33644523076,0.0,99998.33644523076,1
2020-11-02,99998.3365503073,0.0,99998.3365503073,1
2020-11-03,99998.33662802388,-2.3815072121980295e-05,99998.33660420882,2
2020-11-04,99998.33678967711,0.0,99998.33678967711,1
2020-11-05,99998.33686737926,2.1312388867000675e-05,99998.33688869164,2
2020-11-06,99998.33698788274,3.57050045924979e-05,99998.33702358774,2
2020-11-07,99998.33723942797,0.0,99998.33723942797,1
2020-11-08,99998.337396539,0.0,99998.337396539,1
2020-11-09,99998.3374649785,0.0,99998.3374649785,1
2020-11-10,99998.33749107253,0.0,99998.33749107253,1
2020-11-11,99998.33749373343,0.0,99998.33749373343,1
2020-11-12,99998.33749373422,0.0,99998.33749373422,1
2020-11-13,99998.33749373496,-5.770497421843315e-10,99998.33749373438,2
2020-11-14,99998.33749373705,0.0,99998.33749373705,1
2020-11-15,99998.33749373832,0.0,99998.33749373832,1
2020-11-16,99998.33749373947,0.0,99998.33749373947,1
2020-11-17,99998.33749374055,0.0,99998.33749374055,1
2020-11-18,99998.33749373909,0.0,99998.33749373909,1
2020-11-19,99998.33749426708,-1.1284774582889017e-09,99998.33749426594,2
2020-11-20,99998.33748297182,0.0,99998.33748297182,1
